Branch_ID,Type,From,To,FVSI,Lmn,LQP,Lp,NLSI,NVSI,VQI,PTSI,VSI_2,L_simple,VSLI,VCPI_P,VCPI_Q,Lsr,SI,VCPI_1,VSMI,VSLBI,VSI_1,L_index,VCPI_bus
0,LINE,1,0,0.2392865530052161,0.25421035736889963,0.36252587495287786,0.9047983741142219,0.2968131674582107,0.4171481952366707,0.23928655300521606,0.5173356198412761,0.2688688373302939,-0.1779038277881034,-0.11068160793651412,0.5173356198412761,0.5173356198412761,0.5173356198412761,0.6307611895438582,0.4970047854520326,0.6994786887659513,5.718571446301816,0.3042426938995415,0.12911329546473163,2.978737017357867
1,LINE,0,38,0.16854239308883529,0.16945433176610739,0.17592388349927077,0.9999921881061565,0.1752435679926762,0.13224937211952933,0.16854239308883529,0.20884100566231503,0.1795866762286428,-0.19845682624853475,-0.1941006205442316,0.20884100566231506,0.20884100566231506,0.2088410056623151,0.8331601966280675,0.5373131273757273,0.8856780194397358,16.0936698879965,0.8257397011624096,0.0,6.304438054419975
2,LINE,1,2,0.3332460089467207,0.3443776765257531,0.3796299267928856,0.9473500114534138,0.3681610831483164,0.3269324718254122,0.3332460089467207,0.4579486761775415,0.3691764192197011,0.3851626119661742,0.4032060957836133,0.4579486761775414,0.4579486761775415,0.4579486761775415,0.627603253799817,0.36431576890183487,0.7263900646833056,5.851250315914167,0.5659690153768459,0.5610368036987485,27.917760352639338
3,LINE,24,1,0.09307252542889162,0.10317812304707728,0.06525923980238879,0.3284870558792311,0.20623805072676146,0.099228278657655,0.0930725254288916,0.22748141058040977,0.16882176749585828,0.09880246510862256,0.1053555174110518,0.2274814105804098,0.2274814105804098,0.2274814105804098,0.7854597945912041,0.4576560031582098,0.7991376802028547,15.22154047790439,0.8154006809007353,0.25777265912850883,0.999999999999954
4,LINE,2,3,0.47053658115752545,0.4702808132832263,0.46885808821341324,0.2335609579059311,0.46953056695830775,0.30625929851167083,0.4705365811575254,0.46967518521323665,0.4991943023073731,0.4624849841985789,0.4625122295487344,0.4696751852132366,0.46967518521323665,0.46967518521323665,0.3747906974311068,0.3084203931497814,1.2639155064138503,6.491576981801955,0.5312096677382456,0.7620161124763695,85.87629086574846
5,LINE,17,2,0.036478928581759586,0.03655620755951886,0.036731889504182116,0.415513339542249,0.03992648200762999,0.02929282319202238,0.03647892858175959,0.04882361353954695,0.04221901836838534,-0.03804327213723116,-0.037750696319511834,0.048823613539546944,0.04882361353954695,0.048823613539546944,0.47259330990449994,0.42455359747044447,0.9704385682695638,66.2194130024324,0.955319388371557,0.5610368036987485,27.917760352639338
6,LINE,4,3,0.06756603833864712,0.0696902034643132,0.12836481960405818,0.8948152498106657,0.09795285007816727,0.25611482365654126,0.06756603833864712,0.296955503152467,0.07534506042084166,-0.009454446033198161,0.021105955462794618,0.29695550315246694,0.29695550315246694,0.29695550315246694,0.2618714838130517,0.3598412528053407,0.8196355550493685,8.095409006476299,0.5096045662010694,0.7620161124763695,85.87629086574846
7,LINE,13,3,0.06471787235220167,0.066838398126066,0.12699717707955963,0.8680020893868597,0.0952282746818179,0.2584051270015407,0.0647178723522017,0.29817000858196063,0.07213731282099507,0.12329025760458666,0.15244826231516778,0.29817000858196063,0.29817000858196063,0.29817000858196063,0.3009869085285698,0.34665719220575164,0.8152540971856955,7.4883799255010475,0.5040216274892653,0.7620161124763695,85.87629086574846
8,LINE,5,4,0.02254271611670449,0.022831747312258673,0.03657103907412792,0.9867220212993216,0.04063197361060918,0.12031912260738782,0.022542716116704484,0.13963839278857573,0.02590112608136966,0.047415381852317445,0.05423876627586316,0.13963839278857568,0.13963839278857573,0.1396383927885757,0.2867665332729899,0.3579941635189814,0.9149197601902896,16.362946518732585,0.7631157978173733,0.6550362379757145,1.0000000000027944
9,LINE,4,7,0.019746787225379956,0.020698782454287537,0.11356463569369707,0.8514608476530601,0.06293097827109212,0.30615766917933185,0.01974678722537995,0.3353880458237506,0.022490314745345484,0.10710980871405183,0.15125067770832304,0.33538804582375065,0.33538804582375065,0.33538804582375065,0.2643364357180915,0.3350679026475935,0.7871755492567533,6.224166983894679,0.3940180003795458,0.7660174161671862,76.88591088274626
