
====================================================================================================
RELATORIO DE EXECUCAO DO FLUXO DE POTENCIA CONTINUADO (CONVERGENCIA)
SISTEMA: IEEE 14 BARRAS
DATA: 20/11/2025 19:16:34
====================================================================================================

NUM.    STATUS          PASSO (LAMBDA)    CARGA TOTAL (MW)    CARGA TOTAL (Mvar)    TENSAO MIN (PU)
----------------------------------------------------------------------------------------------------
1       Convergente     1.0000            250.69              68.27                 1.0100
2       Convergente     1.0020            251.22              68.61                 1.0100
3       Convergente     1.0040            251.76              68.95                 1.0100
4       Convergente     1.0060            252.29              69.29                 1.0100
5       Convergente     1.0080            252.82              69.63                 1.0100
6       Convergente     1.0100            253.35              69.97                 1.0100
7       Convergente     1.0120            253.88              70.31                 1.0100
8       Convergente     1.0140            254.42              70.65                 1.0100
9       Convergente     1.0160            254.95              70.99                 1.0100
10      Convergente     1.0180            255.48              71.33                 1.0100
11      Convergente     1.0200            256.01              71.67                 1.0100
12      Convergente     1.0220            256.55              72.01                 1.0100
13      Convergente     1.0240            257.08              72.35                 1.0100
14      Convergente     1.0260            257.61              72.70                 1.0100
15      Convergente     1.0280            258.14              73.04                 1.0100
16      Convergente     1.0300            258.68              73.38                 1.0100
17      Convergente     1.0320            259.21              73.73                 1.0100
18      Convergente     1.0340            259.74              74.07                 1.0100
19      Convergente     1.0360            260.28              74.42                 1.0100
20      Convergente     1.0380            260.81              74.76                 1.0100
21      Convergente     1.0400            261.35              75.11                 1.0100
22      Convergente     1.0420            261.88              75.46                 1.0100
23      Convergente     1.0440            262.41              75.80                 1.0100
24      Convergente     1.0460            262.95              76.15                 1.0100
25      Convergente     1.0480            263.48              76.50                 1.0100
26      Convergente     1.0500            264.02              76.85                 1.0100
27      Convergente     1.0520            264.55              77.20                 1.0100
28      Convergente     1.0540            265.09              77.55                 1.0100
29      Convergente     1.0560            265.62              77.89                 1.0100
30      Convergente     1.0580            266.16              78.24                 1.0100
31      Convergente     1.0600            266.69              78.59                 1.0100
32      Convergente     1.0620            267.23              78.95                 1.0100
33      Convergente     1.0640            267.76              79.30                 1.0100
34      Convergente     1.0660            268.30              79.65                 1.0100
35      Convergente     1.0680            268.84              80.00                 1.0100
36      Convergente     1.0700            269.37              80.35                 1.0100
37      Convergente     1.0720            269.91              80.71                 1.0100
38      Convergente     1.0740            270.44              81.06                 1.0100
39      Convergente     1.0760            270.98              81.41                 1.0100
40      Convergente     1.0780            271.52              81.77                 1.0100
41      Convergente     1.0800            272.05              82.12                 1.0100
42      Convergente     1.0820            272.59              82.48                 1.0100
43      Convergente     1.0840            273.13              82.83                 1.0100
44      Convergente     1.0860            273.66              83.19                 1.0100
45      Convergente     1.0880            274.20              83.55                 1.0100
46      Convergente     1.0900            274.74              83.90                 1.0100
47      Convergente     1.0920            275.28              84.26                 1.0100
48      Convergente     1.0940            275.81              84.62                 1.0100
49      Convergente     1.0960            276.35              84.98                 1.0100
50      Convergente     1.0980            276.89              85.33                 1.0100
51      Convergente     1.1000            277.43              85.69                 1.0100
52      Convergente     1.1020            277.97              86.05                 1.0100
53      Convergente     1.1040            278.51              86.41                 1.0100
54      Convergente     1.1060            279.04              86.77                 1.0100
55      Convergente     1.1080            279.58              87.13                 1.0100
56      Convergente     1.1100            280.12              87.50                 1.0100
57      Convergente     1.1120            280.66              87.86                 1.0100
58      Convergente     1.1140            281.20              88.22                 1.0100
59      Convergente     1.1160            281.74              88.58                 1.0100
60      Convergente     1.1180            282.28              88.95                 1.0100
61      Convergente     1.1200            282.82              89.31                 1.0100
62      Convergente     1.1220            283.36              89.67                 1.0100
63      Convergente     1.1240            283.90              90.04                 1.0100
64      Convergente     1.1260            284.44              90.40                 1.0100
65      Convergente     1.1280            284.98              90.77                 1.0100
66      Convergente     1.1300            285.52              91.13                 1.0100
67      Convergente     1.1320            286.06              91.50                 1.0100
68      Convergente     1.1340            286.60              91.87                 1.0100
69      Convergente     1.1360            287.14              92.23                 1.0100
70      Convergente     1.1380            287.68              92.60                 1.0100
71      Convergente     1.1400            288.22              92.97                 1.0100
72      Convergente     1.1420            288.76              93.34                 1.0100
73      Convergente     1.1440            289.30              93.71                 1.0100
74      Convergente     1.1460            289.85              94.08                 1.0100
75      Convergente     1.1480            290.39              94.45                 1.0100
76      Convergente     1.1500            290.93              94.82                 1.0100
77      Convergente     1.1520            291.47              95.19                 1.0100
78      Convergente     1.1540            292.01              95.56                 1.0100
79      Convergente     1.1560            292.56              95.93                 1.0100
80      Convergente     1.1580            293.10              96.30                 1.0100
81      Convergente     1.1600            293.64              96.67                 1.0100
82      Convergente     1.1620            294.18              97.05                 1.0100
83      Convergente     1.1640            294.73              97.42                 1.0100
84      Convergente     1.1660            295.27              97.79                 1.0100
85      Convergente     1.1680            295.81              98.17                 1.0100
86      Convergente     1.1700            296.35              98.54                 1.0100
87      Convergente     1.1720            296.90              98.92                 1.0100
88      Convergente     1.1740            297.44              99.29                 1.0100
89      Convergente     1.1760            297.99              99.67                 1.0100
90      Convergente     1.1780            298.53              100.05                1.0100
91      Convergente     1.1800            299.07              100.42                1.0100
92      Convergente     1.1820            299.62              100.80                1.0100
93      Convergente     1.1840            300.16              101.18                1.0100
94      Convergente     1.1860            300.71              101.56                1.0100
95      Convergente     1.1880            301.25              101.94                1.0100
