Bus_ID,V_pu,Angle_deg,L_index,VCPI_bus
0,1.06,0.0,0.0,261.8616457465289
1,1.0450000000000002,-36.50567161088105,0.0,123.22497557093216
2,1.0100000000000002,-87.69878991329139,0.0,210.09376779258017
3,0.7064812296276988,-72.33384848398889,0.21817259545825157,26.668415317958893
4,0.6834882931059346,-61.56651318074824,0.15658828141954717,2.888724732034183
5,1.07,-107.68555462061032,0.0,13.480372386575095
6,0.8039473728858427,-95.48245245031875,0.2688804076515555,0.99999991542691
7,1.09,-95.48245245031875,0.0,0.0
8,0.7145985540060937,-107.54936902959739,0.5526304058541787,10.419714889404494
9,0.7347301480748648,-109.58439270358687,0.5093903754068424,1813405374853470.8
10,0.8821444552744504,-109.03196490678192,0.23920672057143894,0.0
11,0.9759555669240381,-111.71868634343645,0.1259922680388492,0.0
12,0.9266477537316684,-111.77280427200274,0.1856477866601422,0.0
13,0.6900795089465998,-117.57549068384161,0.648705634368583,0.0
