
====================================================================================================
RELATORIO DE EXECUCAO DO FLUXO DE POTENCIA CONTINUADO (CONVERGENCIA)
SISTEMA: IEEE 57 BARRAS
DATA: 20/11/2025 19:19:37
====================================================================================================

NUM.    STATUS          PASSO (LAMBDA)    CARGA TOTAL (MW)    CARGA TOTAL (Mvar)    TENSAO MIN (PU)
----------------------------------------------------------------------------------------------------
1       Convergente     1.0000            726.09              264.68                0.7199
2       Convergente     1.0020            727.61              265.05                0.7193
3       Convergente     1.0040            729.13              265.41                0.7186
4       Convergente     1.0060            730.65              265.78                0.7179
5       Convergente     1.0080            732.17              266.14                0.7173
6       Convergente     1.0100            733.68              266.51                0.7166
7       Convergente     1.0120            735.20              266.88                0.7160
8       Convergente     1.0140            736.73              267.25                0.7153
9       Convergente     1.0160            738.25              267.62                0.7146
10      Convergente     1.0180            739.77              267.99                0.7140
11      Convergente     1.0200            741.29              268.36                0.7133
12      Convergente     1.0220            742.81              268.73                0.7126
13      Convergente     1.0240            744.33              269.11                0.7120
14      Convergente     1.0260            745.86              269.48                0.7113
15      Convergente     1.0280            747.38              269.86                0.7106
16      Convergente     1.0300            748.90              270.23                0.7100
17      Convergente     1.0320            750.43              270.61                0.7093
18      Convergente     1.0340            751.95              270.99                0.7086
19      Convergente     1.0360            753.48              271.37                0.7079
20      Convergente     1.0380            755.00              271.75                0.7072
21      Convergente     1.0400            756.53              272.13                0.7066
22      Convergente     1.0420            758.05              272.51                0.7059
23      Convergente     1.0440            759.58              272.90                0.7052
24      Convergente     1.0460            761.10              273.28                0.7045
25      Convergente     1.0480            762.63              273.67                0.7038
26      Convergente     1.0500            764.16              274.05                0.7031
27      Convergente     1.0520            765.69              274.44                0.7024
28      Convergente     1.0540            767.21              274.83                0.7017
29      Convergente     1.0560            768.74              275.22                0.7010
30      Convergente     1.0580            770.27              275.61                0.7003
31      Convergente     1.0600            771.80              276.00                0.6996
32      Convergente     1.0620            773.33              276.39                0.6989
33      Convergente     1.0640            774.86              276.79                0.6982
34      Convergente     1.0660            776.39              277.18                0.6975
35      Convergente     1.0680            777.92              277.58                0.6968
36      Convergente     1.0700            779.45              277.97                0.6961
37      Convergente     1.0720            780.99              278.37                0.6954
38      Convergente     1.0740            782.52              278.77                0.6947
39      Convergente     1.0760            784.05              279.17                0.6940
40      Convergente     1.0780            785.58              279.59                0.6932
41      Convergente     1.0800            787.12              280.00                0.6925
42      Convergente     1.0820            788.65              280.41                0.6918
43      Convergente     1.0840            790.19              280.83                0.6911
44      Convergente     1.0860            791.72              281.25                0.6903
45      Convergente     1.0880            793.26              281.66                0.6896
46      Convergente     1.0900            794.79              282.08                0.6889
47      Convergente     1.0920            796.33              282.50                0.6882
48      Convergente     1.0940            797.86              282.92                0.6874
49      Convergente     1.0960            799.40              283.34                0.6867
50      Convergente     1.0980            800.94              283.76                0.6860
51      Convergente     1.1000            802.47              284.19                0.6852
52      Convergente     1.1020            804.01              284.61                0.6845
53      Convergente     1.1040            805.55              285.04                0.6837
54      Convergente     1.1060            807.09              285.47                0.6830
55      Convergente     1.1080            808.63              285.89                0.6822
56      Convergente     1.1100            810.17              286.32                0.6815
57      Convergente     1.1120            811.71              286.75                0.6807
58      Convergente     1.1140            813.25              287.18                0.6800
59      Convergente     1.1160            814.79              287.62                0.6792
60      Convergente     1.1180            816.33              288.05                0.6785
61      Convergente     1.1200            817.87              288.48                0.6777
62      Convergente     1.1220            819.42              288.92                0.6769
63      Convergente     1.1240            820.96              289.36                0.6762
64      Convergente     1.1260            822.50              289.79                0.6754
65      Convergente     1.1280            824.05              290.23                0.6746
66      Convergente     1.1300            825.59              290.67                0.6739
67      Convergente     1.1320            827.14              291.11                0.6731
68      Convergente     1.1340            828.68              291.55                0.6723
69      Convergente     1.1360            830.23              292.00                0.6715
70      Convergente     1.1380            831.77              292.44                0.6707
71      Convergente     1.1400            833.32              292.89                0.6700
72      Convergente     1.1420            834.87              293.33                0.6692
73      Convergente     1.1440            836.41              293.78                0.6684
74      Convergente     1.1460            837.96              294.23                0.6676
75      Convergente     1.1480            839.51              294.68                0.6668
76      Convergente     1.1500            841.06              295.13                0.6660
77      Convergente     1.1520            842.61              295.59                0.6652
78      Convergente     1.1540            844.16              296.04                0.6644
79      Convergente     1.1560            845.71              296.49                0.6636
80      Convergente     1.1580            847.26              296.95                0.6628
81      Convergente     1.1600            848.81              297.41                0.6620
82      Convergente     1.1620            850.36              297.86                0.6611
83      Convergente     1.1640            851.91              298.32                0.6603
84      Convergente     1.1660            853.46              298.78                0.6595
85      Convergente     1.1680            855.02              299.35                0.6587
86      Convergente     1.1700            856.57              300.03                0.6579
87      Convergente     1.1720            858.12              300.71                0.6570
88      Convergente     1.1740            859.68              301.39                0.6562
89      Convergente     1.1760            861.23              302.08                0.6554
90      Convergente     1.1780            862.79              302.76                0.6545
91      Convergente     1.1800            864.34              303.45                0.6537
92      Convergente     1.1820            865.90              304.14                0.6529
93      Convergente     1.1840            867.46              304.83                0.6520
94      Convergente     1.1860            869.01              305.52                0.6512
95      Convergente     1.1880            870.57              306.22                0.6503
96      Convergente     1.1900            872.13              306.91                0.6495
97      Convergente     1.1920            873.69              307.86                0.6486
98      Convergente     1.1940            875.25              308.84                0.6477
99      Convergente     1.1960            876.81              309.82                0.6469
100     Convergente     1.1980            878.37              310.81                0.6460
101     Convergente     1.2000            879.93              311.79                0.6451
102     Convergente     1.2020            881.49              312.78                0.6443
103     Convergente     1.2040            883.05              313.77                0.6434
104     Convergente     1.2060            884.62              314.76                0.6425
105     Convergente     1.2080            886.18              315.75                0.6416
106     Convergente     1.2100            887.74              316.75                0.6407
107     Convergente     1.2120            889.31              317.75                0.6398
108     Convergente     1.2140            890.87              318.75                0.6389
109     Convergente     1.2160            892.44              319.75                0.6380
110     Convergente     1.2180            894.00              320.75                0.6371
111     Convergente     1.2200            895.57              321.76                0.6362
112     Convergente     1.2220            897.13              322.77                0.6353
113     Convergente     1.2240            898.70              323.78                0.6344
114     Convergente     1.2260            900.27              324.79                0.6335
115     Convergente     1.2280            901.84              325.81                0.6326
116     Convergente     1.2300            903.41              326.82                0.6316
117     Convergente     1.2320            904.98              327.84                0.6307
118     Convergente     1.2340            906.55              328.87                0.6298
119     Convergente     1.2360            908.12              329.89                0.6288
120     Convergente     1.2380            909.69              330.92                0.6279
121     Convergente     1.2400            911.26              331.94                0.6269
122     Convergente     1.2420            912.83              332.98                0.6260
123     Convergente     1.2440            914.40              334.01                0.6250
124     Convergente     1.2460            915.98              335.04                0.6241
125     Convergente     1.2480            917.55              336.08                0.6231
126     Convergente     1.2500            919.13              337.12                0.6222
127     Convergente     1.2520            920.70              338.17                0.6212
128     Convergente     1.2540            922.28              339.21                0.6202
129     Convergente     1.2560            923.85              340.26                0.6192
130     Convergente     1.2580            925.43              341.31                0.6182
131     Convergente     1.2600            927.01              342.36                0.6172
132     Convergente     1.2620            928.59              343.41                0.6163
133     Convergente     1.2640            930.16              344.47                0.6153
134     Convergente     1.2660            931.74              345.53                0.6142
135     Convergente     1.2680            933.32              346.59                0.6132
136     Convergente     1.2700            934.90              347.66                0.6122
137     Convergente     1.2720            936.49              348.73                0.6112
138     Convergente     1.2740            938.07              349.80                0.6102
139     Convergente     1.2760            939.65              350.87                0.6091
140     Convergente     1.2780            941.23              351.94                0.6081
141     Convergente     1.2800            942.82              353.02                0.6071
142     Convergente     1.2820            944.40              354.10                0.6060
143     Convergente     1.2840            945.99              355.18                0.6050
144     Convergente     1.2860            947.57              356.27                0.6039
145     Convergente     1.2880            949.16              357.36                0.6028
146     Convergente     1.2900            950.75              358.45                0.6018
147     Convergente     1.2920            952.33              359.54                0.6007
148     Convergente     1.2940            953.92              360.64                0.5996
149     Convergente     1.2960            955.51              361.74                0.5985
150     Convergente     1.2980            957.10              362.84                0.5974
151     Convergente     1.3000            958.69              363.94                0.5963
152     Convergente     1.3020            960.28              365.05                0.5952
153     Convergente     1.3040            961.87              366.16                0.5941
154     Convergente     1.3060            963.47              367.27                0.5930
155     Convergente     1.3080            965.06              368.39                0.5918
156     Convergente     1.3100            966.65              369.51                0.5907
157     Convergente     1.3120            968.25              370.63                0.5896
158     Convergente     1.3140            969.84              371.76                0.5884
159     Convergente     1.3160            971.44              372.89                0.5872
160     Convergente     1.3180            973.04              374.02                0.5861
161     Convergente     1.3200            974.64              375.15                0.5849
162     Convergente     1.3220            976.23              376.29                0.5837
163     Convergente     1.3240            977.83              377.43                0.5825
164     Convergente     1.3260            979.43              378.58                0.5813
165     Convergente     1.3280            981.04              379.72                0.5801
166     Convergente     1.3300            982.64              380.87                0.5789
167     Convergente     1.3320            984.24              382.03                0.5777
168     Convergente     1.3340            985.84              383.19                0.5765
169     Convergente     1.3360            987.45              384.35                0.5752
170     Convergente     1.3380            989.05              385.51                0.5740
171     Convergente     1.3400            990.66              386.68                0.5727
172     Convergente     1.3420            992.27              387.85                0.5714
173     Convergente     1.3440            993.87              389.03                0.5701
174     Convergente     1.3460            995.48              390.20                0.5689
175     Convergente     1.3480            997.09              391.39                0.5676
176     Convergente     1.3500            998.70              392.57                0.5662
177     Convergente     1.3520            1000.31             393.76                0.5649
178     Convergente     1.3540            1001.93             394.96                0.5636
179     Convergente     1.3560            1003.54             396.15                0.5622
180     Convergente     1.3580            1005.16             397.36                0.5609
181     Convergente     1.3600            1006.77             398.56                0.5595
182     Convergente     1.3620            1008.39             399.77                0.5581
183     Convergente     1.3640            1010.00             400.99                0.5567
184     Convergente     1.3660            1011.62             402.20                0.5553
185     Convergente     1.3680            1013.24             403.43                0.5539
186     Convergente     1.3700            1014.86             404.65                0.5525
187     Convergente     1.3720            1016.48             405.89                0.5510
188     Convergente     1.3740            1018.11             407.12                0.5495
189     Convergente     1.3760            1019.73             408.36                0.5481
190     Convergente     1.3780            1021.36             409.61                0.5466
191     Convergente     1.3800            1022.98             410.86                0.5451
192     Convergente     1.3820            1024.61             412.11                0.5435
193     Convergente     1.3840            1026.24             413.37                0.5420
194     Convergente     1.3860            1027.87             414.64                0.5404
195     Convergente     1.3880            1029.50             415.91                0.5388
196     Convergente     1.3900            1031.13             417.19                0.5372
197     Convergente     1.3920            1032.77             418.47                0.5356
198     Convergente     1.3940            1034.40             419.76                0.5340
199     Convergente     1.3960            1036.04             421.05                0.5323
200     Convergente     1.3980            1037.68             422.35                0.5306
201     Convergente     1.4000            1039.32             423.66                0.5289
202     Convergente     1.4020            1040.96             424.97                0.5272
203     Convergente     1.4040            1042.60             426.29                0.5254
204     Convergente     1.4060            1044.25             427.62                0.5236
205     Convergente     1.4080            1045.90             428.95                0.5218
206     Convergente     1.4100            1047.54             430.29                0.5200
207     Convergente     1.4120            1049.19             431.64                0.5181
208     Convergente     1.4140            1050.85             433.00                0.5162
209     Convergente     1.4160            1052.50             434.37                0.5143
210     Convergente     1.4180            1054.16             435.74                0.5123
211     Convergente     1.4200            1055.82             437.12                0.5103
212     Convergente     1.4220            1057.48             438.51                0.5082
213     Convergente     1.4240            1059.14             439.92                0.5061
214     Convergente     1.4260            1060.81             441.33                0.5040
215     Convergente     1.4280            1062.47             442.75                0.5018
216     Convergente     1.4300            1064.15             444.19                0.4996
217     Convergente     1.4320            1065.82             445.64                0.4973
218     Convergente     1.4340            1067.50             447.10                0.4949
219     Convergente     1.4360            1069.18             448.57                0.4925
220     Convergente     1.4380            1070.86             450.06                0.4901
221     Convergente     1.4400            1072.55             451.57                0.4875
222     Convergente     1.4420            1074.24             453.09                0.4849
223     Convergente     1.4440            1075.94             454.63                0.4821
224     Convergente     1.4460            1077.64             456.20                0.4793
225     Convergente     1.4480            1079.35             457.79                0.4764
226     Convergente     1.4500            1081.06             459.40                0.4733
227     Convergente     1.4520            1082.78             461.04                0.4701
228     Convergente     1.4540            1084.51             462.72                0.4667
229     Convergente     1.4560            1086.25             464.44                0.4631
230     Convergente     1.4580            1088.00             466.20                0.4593
231     Convergente     1.4600            1089.76             468.02                0.4552
232     Convergente     1.4620            1091.54             469.91                0.4507
233     Convergente     1.4640            1093.35             471.90                0.4458
234     Convergente     1.4660            1095.18             474.03                0.4401
235     Convergente     1.4680            1097.07             476.37                0.4332
236     Convergente     1.4700            1099.06             479.15                0.4240
237     Divergente      1.4720            ---                 ---                   ---
238     Convergente     1.4710            1100.17             481.02                0.4169
239     Divergente      1.4720            ---                 ---                   ---
240     Convergente     1.4715            1100.86             482.54                0.4102
241     Divergente      1.4720            ---                 ---                   ---
242     Divergente      1.4718            ---                 ---                   ---
