
================================================================================
RELATORIO DE ANALISE DE ESTABILIDADE DE TENSAO (SIMULADOR PYTHON)
SISTEMA: IEEE 118 BARRAS
DATA: 20/11/2025 19:20:51
================================================================================

RESUMO DO PONTO DE COLAPSO
--------------------------
Fator de Escala Final (Lambda): 3.1870
Carregamento Total do Sistema : 13519.35 MW
Tensao Minima do Sistema      : 0.6993 pu (Barra 43)

ESTADO DAS BARRAS
================================================================================
BARRA   | V (pu)  | ANG (deg) | P_INJ (MW) | Q_INJ (Mvar) | TIPO
--------------------------------------------------------------------------------
43      | 0.6993  | -69.03    | 50.99      | 20.61        | PQ
37      | 0.7133  | -75.39    | 0.00       | 0.00         | PQ
44      | 0.7566  | -54.76    | 168.91     | 64.39        | PQ
20      | 0.7746  | -91.59    | 44.62      | 25.50        | PQ
21      | 0.7759  | -78.25    | 31.87      | 15.94        | PQ
42      | 0.7955  | -94.75    | 57.37      | 22.31        | PQ
19      | 0.8364  | -99.38    | 57.37      | 9.56         | PQ
29      | 0.8481  | -73.05    | 0.00       | 0.00         | PQ
51      | 0.8693  | -49.32    | 57.37      | 15.94        | PQ
94      | 0.8749  | -0.54     | 133.85     | 98.80        | PQ
52      | 0.8780  | -52.55    | 73.30      | 35.06        | PQ
50      | 0.8927  | -45.85    | 54.18      | 25.50        | PQ
117     | 0.8983  | -15.08    | 105.17     | 47.81        | PQ
81      | 0.9037  | 0.70      | 172.10     | 69.71        | PQ
74      | 0.9040  | -10.52    | 149.79     | 35.06        | PQ
95      | 0.9064  | 0.85      | 121.11     | 47.81        | PQ
82      | 0.9073  | 3.33      | 63.74      | 23.64        | PQ
57      | 0.9086  | -48.46    | 38.24      | 9.56         | PQ
12      | 0.9104  | -101.82   | 108.36     | 50.99        | PQ
105     | 0.9166  | -30.95    | 137.04     | 50.99        | PQ
93      | 0.9196  | 1.59      | 95.61      | 50.99        | PQ
32      | 0.9211  | -103.27   | 73.30      | 28.68        | PQ
22      | 0.9245  | -55.87    | 22.31      | 9.56         | PQ
116     | 0.9273  | -104.04   | 63.74      | 25.50        | PQ
38      | 0.9285  | -108.73   | 86.05      | 35.06        | PQ
92      | 0.9315  | 7.53      | 38.24      | 22.31        | PQ
62      | 0.9346  | -17.84    | 0.00       | 0.00         | PQ
46      | 0.9357  | -29.45    | 108.36     | 0.00         | PQ
83      | 0.9399  | 9.07      | 35.06      | 22.31        | PQ
8       | 0.9410  | -43.77    | 0.00       | 0.00         | PQ
27      | 0.9420  | -92.04    | 54.18      | 22.31        | PQ
36      | 0.9427  | -97.87    | 0.00       | 22.22        | PQ
75      | 0.9430  | -16.67    | 216.72     | -138.11      | PQ
56      | 0.9441  | -45.47    | 38.24      | 9.56         | PQ
100     | 0.9444  | 2.63      | 70.11      | 47.81        | PQ
114     | 0.9459  | -88.94    | 70.11      | 22.31        | PQ
40      | 0.9463  | -112.01   | 117.92     | 31.87        | PQ
113     | 0.9470  | -88.89    | 25.50      | 9.56         | PQ
15      | 0.9477  | -99.50    | 79.68      | 31.87        | PQ
2       | 0.9482  | -101.65   | 124.29     | 31.87        | PQ
87      | 0.9508  | 21.89     | 152.98     | 31.87        | PQ
96      | 0.9509  | 4.42      | 47.81      | 28.68        | PQ
28      | 0.9517  | -95.64    | 76.49      | 12.75        | PQ
106     | 0.9520  | -41.37    | 159.35     | -70.40       | PQ
54      | 0.9520  | -49.97    | 200.78     | -38.85       | PQ
55      | 0.9540  | -49.48    | 267.71     | -156.53      | PQ
0       | 0.9550  | -105.40   | 162.54     | -67.13       | PQ
53      | 0.9550  | -49.18    | 207.16     | -114.79      | PQ
16      | 0.9566  | -92.44    | 35.06      | 9.56         | PQ
1       | 0.9566  | -102.66   | 63.74      | 28.68        | PQ
108     | 0.9575  | -35.95    | 25.50      | 9.56         | PQ
107     | 0.9577  | -34.42    | 6.37       | 3.19         | PQ
85      | 0.9578  | 8.65      | 66.93      | 31.87        | PQ
73      | 0.9580  | -17.49    | 216.72     | -188.09      | PQ
63      | 0.9581  | -10.65    | 0.00       | 0.00         | PQ
10      | 0.9606  | -97.06    | 223.09     | 73.30        | PQ
18      | 0.9620  | -103.36   | 143.42     | -88.26       | PQ
31      | 0.9630  | -87.75    | 188.03     | -199.88      | PQ
104     | 0.9650  | -30.49    | 98.80      | -115.68      | PQ
101     | 0.9651  | 11.12     | 15.94      | 9.56         | PQ
30      | 0.9670  | -95.41    | 114.73     | -95.05       | PQ
26      | 0.9680  | -86.20    | 226.28     | -279.10      | PQ
34      | 0.9688  | -101.81   | 105.17     | 28.68        | PQ
39      | 0.9700  | -111.79   | 210.34     | -208.83      | PQ
14      | 0.9700  | -102.65   | 286.83     | -219.09      | PQ
103     | 0.9710  | -26.36    | 121.11     | -52.13       | PQ
17      | 0.9730  | -101.39   | 191.22     | -123.48      | PQ
109     | 0.9730  | -38.85    | 124.29     | -56.50       | PQ
49      | 0.9733  | -37.01    | 54.18      | 12.75        | PQ
111     | 0.9750  | -48.91    | 216.72     | -106.54      | PQ
78      | 0.9756  | 3.07      | 124.29     | 82.95        | PQ
13      | 0.9768  | -101.31   | 44.62      | 3.19         | PQ
110     | 0.9800  | -33.39    | -114.73    | 19.58        | PQ
90      | 0.9800  | 12.87     | 31.87      | 5.57         | PQ
35      | 0.9800  | -101.98   | 98.80      | -125.91      | PQ
71      | 0.9800  | -37.63    | 38.24      | -35.72       | PQ
70      | 0.9810  | -20.17    | 0.00       | 0.00         | PQ
77      | 0.9834  | 2.07      | 226.28     | 82.86        | PQ
69      | 0.9840  | -16.24    | 210.34     | -405.87      | PQ
33      | 0.9840  | -100.36   | 188.03     | -618.98      | PQ
89      | 0.9850  | 12.59     | 519.48     | -208.15      | PQ
84      | 0.9850  | 12.64     | 76.49      | -183.52      | PQ
58      | 0.9850  | -30.94    | 388.82     | -194.93      | PQ
41      | 0.9850  | -103.52   | 305.95     | -508.91      | PQ
59      | 0.9863  | -16.49    | 248.59     | 9.56         | PQ
6       | 0.9875  | -97.71    | 60.55      | 6.37         | PQ
91      | 0.9900  | 15.63     | 207.16     | -302.68      | PQ
11      | 0.9900  | -98.96    | -121.11    | -318.35      | PQ
5       | 0.9900  | -96.22    | 165.73     | -60.49       | PV/REF
72      | 0.9910  | -20.81    | 19.12      | -24.97       | PV/REF
23      | 0.9920  | -50.68    | 41.43      | -169.11      | PV/REF
97      | 0.9928  | 1.68      | 108.36     | 25.50        | PV/REF
112     | 0.9930  | -92.82    | 19.12      | -139.65      | PV/REF
80      | 0.9942  | 8.90      | 0.00       | 0.00         | PQ
60      | 0.9950  | -13.42    | -509.92    | -49.32       | PV/REF
66      | 0.9965  | -10.99    | 89.24      | 22.31        | PV/REF
4       | 0.9974  | -86.76    | 0.00       | 39.79        | PQ
3       | 0.9980  | -88.39    | 124.29     | -91.48       | PV/REF
61      | 0.9980  | -15.71    | 245.40     | -72.88       | PV/REF
67      | 0.9988  | 8.20      | 0.00       | 0.00         | PQ
47      | 1.0002  | -34.20    | 63.74      | 20.05        | PV/REF
45      | 1.0050  | -42.18    | 28.68      | -283.13      | PV/REF
88      | 1.0050  | 34.58     | -1934.52   | -59.21       | PV/REF
115     | 1.0050  | 6.80      | 586.41     | -202.99      | PV/REF
64      | 1.0050  | 2.85      | -1246.13   | -1077.65     | PV/REF
76      | 1.0060  | 3.01      | 194.41     | -502.38      | PV/REF
98      | 1.0100  | -2.96     | 133.85     | -15.48       | PV/REF
102     | 1.0100  | -15.96    | -54.18     | -181.67      | PV/REF
25      | 1.0150  | -29.75    | -1000.73   | -388.82      | PV/REF
86      | 1.0150  | 9.77      | -12.75     | -24.13       | PV/REF
7       | 1.0150  | -69.91    | 89.24      | -1207.14     | PV/REF
99      | 1.0170  | -1.89     | -685.21    | -303.12      | PV/REF
48      | 1.0250  | -30.46    | -372.88    | -1294.47     | PV/REF
68      | 1.0350  | 30.00     | -3368.39   | -536.56      | PV/REF
79      | 1.0400  | 10.02     | -1105.90   | -161.21      | PV/REF
24      | 1.0500  | -35.21    | -701.15    | -314.51      | PV/REF
65      | 1.0500  | -2.35     | -1125.02   | -91.71       | PV/REF
9       | 1.0500  | -16.87    | -1434.16   | -504.59      | PV/REF

================================================================================
FLUXO NAS LINHAS
================================================================================
LINHA   | DE      | PARA    | P_DE (MW) | Q_DE (Mvar) | CARREG (%)
--------------------------------------------------------------------------------
6       | 7       | 8       | -1326.00  | 612.71      | 14.8
7       | 8       | 9       | -1378.36  | 69.55       | 14.8
89      | 37      | 64      | -672.57   | 402.75      | 11.1
34      | 25      | 29      | 723.87    | 355.42      | 8.2
90      | 63      | 64      | -743.74   | -12.04      | 7.8
128     | 88      | 91      | 641.99    | 8.03        | 6.5
98      | 68      | 69      | 613.20    | 137.46      | 6.1
46      | 33      | 36      | -288.40   | 519.92      | 6.1
88      | 62      | 63      | -562.87   | -35.59      | 6.1
91      | 48      | 65      | -510.65   | 209.00      | 5.4
92      | 48      | 65      | -510.65   | 209.00      | 5.4
106     | 68      | 74      | 537.01    | 110.10      | 5.3
30      | 24      | 26      | 520.06    | 172.64      | 5.3
29      | 22      | 24      | -424.94   | 12.11       | 4.6
150     | 99      | 102     | 455.31    | -69.29      | 4.6
109     | 68      | 76      | 467.62    | -6.59       | 4.6
37      | 22      | 31      | 400.97    | -29.70      | 4.4
85      | 59      | 60      | -385.53   | 21.33       | 4.0
19      | 14      | 16      | -327.39   | 160.27      | 3.8
126     | 88      | 89      | 372.55    | -1.92       | 3.7
33      | 7       | 29      | 121.41    | 301.75      | 3.7
62      | 41      | 48      | -240.88   | 258.46      | 3.6
61      | 41      | 48      | -240.88   | 258.46      | 3.6
2       | 3       | 4       | -336.17   | 86.51       | 3.5
96      | 46      | 68      | -236.48   | 206.71      | 3.4
124     | 87      | 88      | -291.40   | 16.43       | 3.1
97      | 48      | 68      | -215.45   | 223.99      | 3.1
4       | 4       | 5       | 294.97    | -27.12      | 3.0
107     | 73      | 74      | -197.35   | 202.43      | 3.0
21      | 16      | 17      | 268.70    | -74.73      | 2.9
49      | 29      | 37      | 63.63     | 192.03      | 2.7
9       | 4       | 10      | 251.76    | 0.70        | 2.5
113     | 76      | 79      | -251.52   | 31.38       | 2.5
164     | 109     | 111     | 232.04    | -72.73      | 2.5
3       | 2       | 4       | -217.34   | 33.47       | 2.3
63      | 44      | 48      | -174.52   | -9.33       | 2.3
57      | 44      | 45      | -146.26   | -82.94      | 2.2
27      | 21      | 22      | -172.09   | -2.73       | 2.2
108     | 75      | 76      | -198.70   | 55.24       | 2.2
123     | 84      | 88      | -205.73   | 56.20       | 2.2
28      | 22      | 23      | -187.26   | -69.99      | 2.2
111     | 76      | 77      | 169.81    | 132.00      | 2.2
10      | 10      | 11      | 107.90    | -174.46     | 2.2
161     | 102     | 109     | 214.57    | 14.74       | 2.2
8       | 3       | 10      | 211.88    | 4.96        | 2.1
154     | 99      | 105     | 208.52    | 37.54       | 2.1
56      | 43      | 44      | -142.53   | 8.51        | 2.1
