
====================================================================================================
RELATORIO DE EXECUCAO DO FLUXO DE POTENCIA CONTINUADO (CONVERGENCIA)
SISTEMA: IEEE 118 BARRAS
DATA: 20/11/2025 19:20:51
====================================================================================================

NUM.    STATUS          PASSO (LAMBDA)    CARGA TOTAL (MW)    CARGA TOTAL (Mvar)    TENSAO MIN (PU)
----------------------------------------------------------------------------------------------------
1       Convergente     1.0000            3782.91             747.90                0.9430
2       Convergente     1.0020            3790.72             749.63                0.9430
3       Convergente     1.0040            3798.53             751.37                0.9430
4       Convergente     1.0060            3806.35             753.11                0.9430
5       Convergente     1.0080            3814.17             754.85                0.9430
6       Convergente     1.0100            3821.99             756.60                0.9430
7       Convergente     1.0120            3829.80             758.35                0.9430
8       Convergente     1.0140            3837.63             760.10                0.9430
9       Convergente     1.0160            3845.45             761.86                0.9430
10      Convergente     1.0180            3853.27             763.62                0.9430
11      Convergente     1.0200            3861.09             765.38                0.9430
12      Convergente     1.0220            3868.92             767.15                0.9430
13      Convergente     1.0240            3876.75             768.92                0.9430
14      Convergente     1.0260            3884.57             770.69                0.9430
15      Convergente     1.0280            3892.40             772.47                0.9430
16      Convergente     1.0300            3900.23             774.25                0.9430
17      Convergente     1.0320            3908.06             776.03                0.9430
18      Convergente     1.0340            3915.90             777.82                0.9430
19      Convergente     1.0360            3923.73             779.61                0.9430
20      Convergente     1.0380            3931.57             781.40                0.9430
21      Convergente     1.0400            3939.40             783.20                0.9430
22      Convergente     1.0420            3947.24             785.00                0.9430
23      Convergente     1.0440            3955.08             786.81                0.9430
24      Convergente     1.0460            3962.92             788.61                0.9430
25      Convergente     1.0480            3970.76             790.42                0.9430
26      Convergente     1.0500            3978.60             792.24                0.9430
27      Convergente     1.0520            3986.45             794.06                0.9430
28      Convergente     1.0540            3994.29             795.88                0.9430
29      Convergente     1.0560            4002.14             797.70                0.9430
30      Convergente     1.0580            4009.99             799.53                0.9430
31      Convergente     1.0600            4017.84             801.36                0.9430
32      Convergente     1.0620            4025.69             803.20                0.9430
33      Convergente     1.0640            4033.54             805.03                0.9430
34      Convergente     1.0660            4041.39             806.88                0.9430
35      Convergente     1.0680            4049.25             808.72                0.9430
36      Convergente     1.0700            4057.10             810.57                0.9430
37      Convergente     1.0720            4064.96             812.42                0.9430
38      Convergente     1.0740            4072.82             814.28                0.9430
39      Convergente     1.0760            4080.67             816.13                0.9430
40      Convergente     1.0780            4088.53             818.00                0.9430
41      Convergente     1.0800            4096.40             819.86                0.9430
42      Convergente     1.0820            4104.26             821.73                0.9430
43      Convergente     1.0840            4112.12             823.60                0.9430
44      Convergente     1.0860            4119.99             825.48                0.9430
45      Convergente     1.0880            4127.85             827.36                0.9430
46      Convergente     1.0900            4135.72             829.24                0.9430
47      Convergente     1.0920            4143.59             831.21                0.9430
48      Convergente     1.0940            4151.46             833.21                0.9430
49      Convergente     1.0960            4159.33             835.21                0.9430
50      Convergente     1.0980            4167.21             837.22                0.9430
51      Convergente     1.1000            4175.08             839.32                0.9430
52      Convergente     1.1020            4182.96             841.65                0.9430
53      Convergente     1.1040            4190.83             843.99                0.9430
54      Convergente     1.1060            4198.71             846.34                0.9430
55      Convergente     1.1080            4206.59             848.69                0.9430
56      Convergente     1.1100            4214.47             851.04                0.9430
57      Convergente     1.1120            4222.35             853.39                0.9429
58      Convergente     1.1140            4230.24             855.75                0.9429
59      Convergente     1.1160            4238.12             858.12                0.9428
60      Convergente     1.1180            4246.01             860.48                0.9428
61      Convergente     1.1200            4253.89             862.85                0.9427
62      Convergente     1.1220            4261.78             865.23                0.9427
63      Convergente     1.1240            4269.67             867.61                0.9426
64      Convergente     1.1260            4277.56             869.99                0.9426
65      Convergente     1.1280            4285.45             872.37                0.9425
66      Convergente     1.1300            4293.35             874.76                0.9424
67      Convergente     1.1320            4301.24             877.15                0.9424
68      Convergente     1.1340            4309.14             879.55                0.9423
69      Convergente     1.1360            4317.03             881.95                0.9423
70      Convergente     1.1380            4324.93             884.35                0.9422
71      Convergente     1.1400            4332.83             886.86                0.9422
72      Convergente     1.1420            4340.73             889.41                0.9421
73      Convergente     1.1440            4348.63             891.96                0.9421
74      Convergente     1.1460            4356.54             894.52                0.9420
75      Convergente     1.1480            4364.44             897.07                0.9419
76      Convergente     1.1500            4372.35             899.64                0.9419
77      Convergente     1.1520            4380.26             902.21                0.9418
78      Convergente     1.1540            4388.16             904.78                0.9418
79      Convergente     1.1560            4396.07             907.35                0.9417
80      Convergente     1.1580            4403.99             909.93                0.9417
81      Convergente     1.1600            4411.90             912.51                0.9416
82      Convergente     1.1620            4419.81             915.10                0.9416
83      Convergente     1.1640            4427.73             917.69                0.9415
84      Convergente     1.1660            4435.64             920.29                0.9415
85      Convergente     1.1680            4443.56             922.89                0.9414
86      Convergente     1.1700            4451.48             925.49                0.9413
87      Convergente     1.1720            4459.40             928.10                0.9413
88      Convergente     1.1740            4467.32             930.71                0.9412
89      Convergente     1.1760            4475.25             933.32                0.9412
90      Convergente     1.1780            4483.17             935.94                0.9411
91      Convergente     1.1800            4491.10             938.56                0.9411
92      Convergente     1.1820            4499.02             941.19                0.9410
93      Convergente     1.1840            4506.95             943.82                0.9410
94      Convergente     1.1860            4514.88             946.46                0.9409
95      Convergente     1.1880            4522.81             949.12                0.9408
96      Convergente     1.1900            4530.74             951.78                0.9408
97      Convergente     1.1920            4538.68             954.45                0.9407
98      Convergente     1.1940            4546.61             957.11                0.9407
99      Convergente     1.1960            4554.55             959.79                0.9406
100     Convergente     1.1980            4562.48             962.46                0.9406
101     Convergente     1.2000            4570.42             965.15                0.9405
102     Convergente     1.2020            4578.36             967.83                0.9405
103     Convergente     1.2040            4586.30             970.52                0.9404
104     Convergente     1.2060            4594.25             973.21                0.9403
105     Convergente     1.2080            4602.19             975.91                0.9403
106     Convergente     1.2100            4610.14             978.61                0.9402
107     Convergente     1.2120            4618.08             981.32                0.9402
108     Convergente     1.2140            4626.03             984.03                0.9401
109     Convergente     1.2160            4633.98             986.74                0.9401
110     Convergente     1.2180            4641.93             989.50                0.9400
111     Convergente     1.2200            4649.88             992.32                0.9400
112     Convergente     1.2220            4657.83             995.15                0.9399
113     Convergente     1.2240            4665.79             997.99                0.9398
114     Convergente     1.2260            4673.74             1000.88               0.9398
115     Convergente     1.2280            4681.70             1003.78               0.9397
116     Convergente     1.2300            4689.66             1006.68               0.9397
117     Convergente     1.2320            4697.62             1009.72               0.9396
118     Convergente     1.2340            4705.58             1012.84               0.9396
119     Convergente     1.2360            4713.54             1015.98               0.9395
120     Convergente     1.2380            4721.51             1019.12               0.9395
121     Convergente     1.2400            4729.47             1022.26               0.9394
122     Convergente     1.2420            4737.44             1025.40               0.9393
123     Convergente     1.2440            4745.41             1028.55               0.9393
124     Convergente     1.2460            4753.38             1031.71               0.9392
125     Convergente     1.2480            4761.35             1034.87               0.9392
126     Convergente     1.2500            4769.32             1038.03               0.9391
127     Convergente     1.2520            4777.29             1041.20               0.9391
128     Convergente     1.2540            4785.27             1044.38               0.9390
129     Convergente     1.2560            4793.24             1047.56               0.9390
130     Convergente     1.2580            4801.22             1050.74               0.9389
131     Convergente     1.2600            4809.20             1053.93               0.9388
132     Convergente     1.2620            4817.18             1057.12               0.9388
133     Convergente     1.2640            4825.16             1060.31               0.9387
134     Convergente     1.2660            4833.14             1063.52               0.9387
135     Convergente     1.2680            4841.12             1066.72               0.9386
136     Convergente     1.2700            4849.11             1069.93               0.9386
137     Convergente     1.2720            4857.10             1073.15               0.9385
138     Convergente     1.2740            4865.08             1076.37               0.9384
139     Convergente     1.2760            4873.07             1079.59               0.9384
140     Convergente     1.2780            4881.06             1082.82               0.9383
141     Convergente     1.2800            4889.06             1086.08               0.9383
142     Convergente     1.2820            4897.05             1089.47               0.9382
143     Convergente     1.2840            4905.04             1092.86               0.9382
144     Convergente     1.2860            4913.04             1096.27               0.9381
145     Convergente     1.2880            4921.04             1099.67               0.9381
146     Convergente     1.2900            4929.04             1103.08               0.9380
147     Convergente     1.2920            4937.04             1106.50               0.9379
148     Convergente     1.2940            4945.04             1109.92               0.9379
149     Convergente     1.2960            4953.04             1113.34               0.9378
150     Convergente     1.2980            4961.05             1116.77               0.9378
151     Convergente     1.3000            4969.05             1120.21               0.9377
