
====================================================================================================
RELATORIO DO CASO BASE (PONTO DE PARTIDA)
SISTEMA: IEEE 118 BARRAS
DATA: 29/11/2025 14:16:41
====================================================================================================
RESUMO GERAL:
-------------
Carga Total:   4242.00 MW  |  1438.00 Mvar
Geração Total: 4374.91 MW
DETALHE DAS BARRAS:
================================================================================
BARRA   | V (pu)  | ANG (deg) | P_INJ (MW) | Q_INJ (Mvar) | TIPO
--------------------------------------------------------------------------------
75      | 0.9430  | 21.80     | 68.00      | 30.73        | PV/REF
52      | 0.9460  | 14.44     | 23.00      | 11.00        | PQ
117     | 0.9494  | 21.94     | 33.00      | 15.00        | PQ
106     | 0.9520  | 17.58     | 50.00      | 0.00         | PV/REF
54      | 0.9520  | 15.06     | 63.00      | 17.34        | PV/REF
55      | 0.9540  | 15.24     | 84.00      | 20.29        | PV/REF
0       | 0.9550  | 10.97     | 51.00      | 30.10        | PV/REF
53      | 0.9550  | 15.35     | 65.00      | 28.10        | PV/REF
51      | 0.9568  | 15.41     | 18.00      | 5.00         | PQ
19      | 0.9569  | 12.19     | 18.00      | 3.00         | PQ
20      | 0.9577  | 13.78     | 14.00      | 8.00         | PQ
73      | 0.9580  | 21.67     | 68.00      | 21.61        | PV/REF
57      | 0.9590  | 15.59     | 12.00      | 3.00         | PQ
114     | 0.9600  | 14.72     | 22.00      | 7.00         | PQ
113     | 0.9601  | 14.73     | 8.00       | 3.00         | PQ
105     | 0.9611  | 20.38     | 43.00      | 16.00        | PQ
37      | 0.9613  | 17.11     | 0.00       | 0.00         | PQ
27      | 0.9616  | 13.88     | 17.00      | 7.00         | PQ
18      | 0.9620  | 11.31     | 45.00      | 39.27        | PV/REF
31      | 0.9630  | 15.06     | 59.00      | 39.28        | PV/REF
28      | 0.9632  | 12.89     | 24.00      | 4.00         | PQ
104     | 0.9650  | 20.64     | 31.00      | 25.71        | PV/REF
107     | 0.9662  | 19.44     | 2.00       | 1.00         | PQ
40      | 0.9668  | 7.05      | 37.00      | 10.00        | PQ
50      | 0.9669  | 16.36     | 17.00      | 8.00         | PQ
30      | 0.9670  | 13.00     | 36.00      | -5.59        | PV/REF
108     | 0.9670  | 18.99     | 8.00       | 3.00         | PQ
74      | 0.9673  | 22.93     | 47.00      | 11.00        | PQ
2       | 0.9677  | 11.86     | 39.00      | 10.00        | PQ
26      | 0.9680  | 15.60     | 71.00      | 9.02         | PV/REF
12      | 0.9683  | 11.63     | 34.00      | 16.00        | PQ
62      | 0.9687  | 22.83     | 0.00       | 0.00         | PQ
21      | 0.9690  | 16.33     | 10.00      | 5.00         | PQ
38      | 0.9700  | 8.58      | 27.00      | 11.00        | PQ
14      | 0.9700  | 11.47     | 90.00      | 22.84        | PV/REF
39      | 0.9700  | 7.50      | 66.00      | -5.45        | PV/REF
56      | 0.9706  | 16.45     | 12.00      | 3.00         | PQ
32      | 0.9709  | 10.85     | 23.00      | 9.00         | PQ
103     | 0.9710  | 21.75     | 38.00      | 22.61        | PV/REF
1       | 0.9714  | 11.51     | 20.00      | 9.00         | PQ
17      | 0.9730  | 11.78     | 60.00      | 5.57         | PV/REF
109     | 0.9730  | 18.14     | 39.00      | 24.04        | PV/REF
116     | 0.9738  | 10.95     | 20.00      | 8.00         | PQ
111     | 0.9750  | 15.04     | 68.00      | -28.51       | PV/REF
42      | 0.9771  | 11.46     | 18.00      | 7.00         | PQ
83      | 0.9797  | 31.00     | 11.00      | 7.00         | PQ
90      | 0.9800  | 33.35     | 10.00      | 13.09        | PV/REF
71      | 0.9800  | 21.11     | 12.00      | 11.13        | PV/REF
110     | 0.9800  | 19.79     | -36.00     | 1.84         | PV/REF
35      | 0.9800  | 11.06     | 31.00      | 9.27         | PV/REF
94      | 0.9803  | 27.71     | 42.00      | 31.00        | PQ
34      | 0.9805  | 11.05     | 33.00      | 9.00         | PQ
13      | 0.9836  | 11.77     | 14.00      | 1.00         | PQ
63      | 0.9837  | 24.59     | 0.00       | 0.00         | PQ
15      | 0.9839  | 12.19     | 25.00      | 10.00        | PQ
33      | 0.9840  | 11.51     | 59.00      | 33.27        | PV/REF
69      | 0.9840  | 22.62     | 66.00      | 10.33        | PV/REF
82      | 0.9844  | 28.46     | 20.00      | 0.31         | PQ
43      | 0.9844  | 13.94     | 16.00      | -1.69        | PQ
41      | 0.9850  | 8.65      | 96.00      | -18.03       | PV/REF
89      | 0.9850  | 33.34     | 163.00     | -17.31       | PV/REF
58      | 0.9850  | 19.45     | 122.00     | 36.17        | PV/REF
84      | 0.9850  | 32.55     | 24.00      | 20.63        | PV/REF
10      | 0.9851  | 13.01     | 70.00      | 23.00        | PQ
29      | 0.9853  | 19.03     | 0.00       | 0.00         | PQ
92      | 0.9854  | 30.85     | 12.00      | 7.00         | PQ
44      | 0.9864  | 15.77     | 53.00      | 12.27        | PQ
85      | 0.9867  | 31.18     | 21.00      | 10.00        | PQ
70      | 0.9868  | 22.21     | 0.00       | 0.00         | PQ
87      | 0.9875  | 35.69     | 48.00      | 10.00        | PQ
81      | 0.9885  | 27.27     | 54.00      | 7.46         | PQ
101     | 0.9891  | 32.36     | 5.00       | 3.00         | PQ
6       | 0.9893  | 12.85     | 19.00      | 2.00         | PQ
93      | 0.9898  | 28.68     | 30.00      | 16.00        | PQ
91      | 0.9900  | 33.88     | 65.00      | 23.96        | PV/REF
11      | 0.9900  | 12.49     | -38.00     | -81.29       | PV/REF
5       | 0.9900  | 13.29     | 52.00      | 6.07         | PV/REF
36      | 0.9907  | 11.97     | 0.00       | 24.54        | PQ
72      | 0.9910  | 22.00     | 6.00       | -9.65        | PV/REF
100     | 0.9914  | 29.65     | 22.00      | 15.00        | PQ
23      | 0.9920  | 21.11     | 13.00      | 14.91        | PV/REF
95      | 0.9923  | 27.54     | 38.00      | 15.00        | PQ
112     | 0.9930  | 13.99     | 6.00       | -6.75        | PV/REF
59      | 0.9932  | 23.23     | 78.00      | 3.00         | PQ
60      | 0.9950  | 24.12     | -160.00    | 40.39        | PV/REF
16      | 0.9951  | 13.99     | 11.00      | 3.00         | PQ
80      | 0.9968  | 28.14     | 0.00       | 0.00         | PQ
61      | 0.9980  | 23.50     | 77.00      | 12.74        | PV/REF
3       | 0.9980  | 15.57     | 39.00      | 27.01        | PV/REF
22      | 0.9995  | 21.25     | 7.00       | 3.00         | PQ
49      | 1.0011  | 18.98     | 17.00      | 4.00         | PQ
4       | 1.0020  | 16.02     | 0.00       | 40.16        | PQ
67      | 1.0033  | 27.60     | 0.00       | 0.00         | PQ
77      | 1.0034  | 26.45     | 71.00      | 26.00        | PQ
64      | 1.0050  | 27.72     | -391.00    | -81.40       | PV/REF
115     | 1.0050  | 27.16     | 184.00     | -51.09       | PV/REF
45      | 1.0050  | 18.58     | 9.00       | 4.93         | PV/REF
88      | 1.0050  | 39.75     | -607.00    | 5.90         | PV/REF
76      | 1.0060  | 26.75     | 61.00      | 15.83        | PV/REF
78      | 1.0092  | 26.74     | 39.00      | 11.63        | PQ
102     | 1.0100  | 24.32     | -17.00     | -59.42       | PV/REF
98      | 1.0100  | 27.07     | 42.00      | 17.54        | PV/REF
96      | 1.0112  | 27.91     | 15.00      | 9.00         | PQ
86      | 1.0150  | 31.44     | -4.00      | -11.03       | PV/REF
25      | 1.0150  | 29.96     | -314.00    | -10.12       | PV/REF
7       | 1.0150  | 21.04     | 28.00      | -63.14       | PV/REF
99      | 1.0170  | 28.06     | -215.00    | -77.55       | PV/REF
46      | 1.0171  | 20.80     | 34.00      | 0.00         | PQ
66      | 1.0197  | 24.92     | 28.00      | 7.00         | PQ
47      | 1.0206  | 20.02     | 20.00      | -4.63        | PQ
97      | 1.0235  | 27.43     | 34.00      | 8.00         | PQ
48      | 1.0250  | 21.02     | -117.00    | -85.85       | PV/REF
68      | 1.0350  | 30.00     | -513.91    | 82.46        | PV/REF
79      | 1.0400  | 28.99     | -347.00    | -79.35       | PV/REF
8       | 1.0429  | 28.29     | 0.00       | 0.00         | PQ
9       | 1.0500  | 35.88     | -450.00    | 51.04        | PV/REF
65      | 1.0500  | 27.56     | -353.00    | 19.96        | PV/REF
24      | 1.0500  | 28.18     | -220.00    | -50.04       | PV/REF

================================================================================
